1571819228,3,0,2,"C7,CK,CA,C2;S4,S5,S3,S6;SK,S9,S2,S7;D5,D4,D8,D2;C8,C4,C5,C9;D7,D6,D9,D10;C6,HJ,C10,CJ;H3,H5,H9,H2;HQ,H8,H10,HK;H7,H6,SA,HA;CQ,DA,SJ,C3;DQ,DJ,SQ,DK;D3,S10,S8,H4"
1571819228,3,2,2,"C3,CK,CA,C2;S6,S2,S5,S3;D8,D2,DJ,D3;SA,S9,SJ,S4;SQ,C4,C5,C6;D9,D5,DQ,D6;HK,SK,HA,S7;H5,H6,H3,H2;HJ,HQ,H7,S10;H10,H8,CQ,S8;C7,H4,C9,C8;DA,D7,D10,D4;C10,DK,CJ,H9"
1571819228,3,5,2,"CQ,CA,CK,C2;S5,S7,S2,S3;C3,C4,C7,C5;D8,D6,D9,D2;S6,S9,S8,S4;C9,C8,HJ,C6;SA,H9,SK,SJ;H5,H2,H7,H3;HA,H6,SQ,S10;H8,HQ,DJ,H4;D5,HK,C10,CJ;D4,D10,D7,DQ;D3,DK,H10,DA"
1571819228,3,0,2,"SA,CQ,CK,C2;C5,SQ,C3,C4;S5,S8,S9,S2;C7,HA,H8,C6;S6,SK,S10,S7;D7,D4,D3,D5;C10,HJ,H6,C8;H3,H5,SJ,S4;H9,DK,H4,H7;D10,H2,HQ,S3;D9,DQ,DA,H10;D8,DJ,CJ,HK;D2,D6,C9,CA"
1571819228,3,13,2,"CA,C9,CK,C2;C4,C5,CJ,C3;D7,D5,D6,D8;S4,SJ,S3,S2;D2,SQ,D3,D4;C8,HK,C6,C7;H5,H3,H2,H4;S9,HA,SK,S10;HQ,CQ,H7,C10;DQ,SA,S6,S7;H8,H10,DJ,DK;S8,H9,D10,HJ;S5,H6,D9,DA"
1571819228,3,13,2,"CA,CJ,C9,C2;S3,S4,S8,S2;D3,DQ,D5,D2;HJ,C4,C7,C3;S7,S6,SJ,S5;D6,SQ,D7,D4;D9,DA,HQ,D8;H6,H3,H4,H2;S9,SK,HA,S10;H8,H9,H5,H7;H10,C10,C8,C5;HK,SA,D10,DJ;CK,C6,DK,CQ"
1571819228,3,3,2,"C9,CK,CQ,C2;C5,C10,C3,C4;S5,S4,S7,S2;DQ,D3,D6,D2;SJ,S10,S8,S3;D7,DA,HK,D4;H2,H8,H7,H3;DJ,SQ,HQ,D5;H6,H4,DK,H9;H5,CA,D10,H10;HA,CJ,D9,HJ;S9,C8,SA,C6;SK,C7,S6,D8"
1571819228,3,4,2,"CA,C7,CK,C2;S2,S8,S5,S3;HA,C8,C4,C3;SQ,S10,S7,SJ;D4,D2,D5,D3;HK,H10,SK,S4;H3,H2,H7,H4;HJ,C9,C6,C5;H6,H9,SA,S9;HQ,D6,D8,D7;H8,CJ,H5,C10;DK,DA,D10,S6;DQ,DJ,D9,CQ"
1571819228,3,2,2,"CA,CQ,CK,C2;C3,C4,C10,C5;SA,S5,S3,S2;D4,D9,D6,D7;S6,SQ,S8,S4;C8,C6,HA,C7;HQ,D5,DJ,D2;HJ,H2,H3,H4;H8,D8,DQ,D3;DA,H7,H5,H6;S10,H10,SK,SJ;S9,DK,H9,D10;C9,CJ,S7,HK"
1571819228,3,4,2,"CQ,CA,C10,C2;D2,D4,D5,D3;S7,S3,S6,S4;C3,C6,C8,C4;S9,S2,S10,S5;HJ,C7,C9,CJ;H2,H4,H6,H3;SQ,SK,SA,SJ;DJ,DQ,D10,DK;C5,HA,H10,CK;H9,HQ,D9,H5;D8,H8,S8,HK;D6,H7,D7,DA"
1571819228,3,3,2,"CK,CQ,CJ,C2;D6,D5,D2,D3;S2,S4,S5,S3;C6,C8,C3,C4;C9,C7,HK,C10;H2,H7,HQ,H3;S9,SA,SJ,S10;HA,SK,SQ,C5;H9,DJ,H4,H5;D8,DQ,D7,D4;HJ,H10,S7,S6;H8,H6,DA,S8;DK,CA,D9,D10"
1571819228,3,5,2,"C8,CK,CA,C2;DK,D2,D4,D3;H5,C7,C4,C3;S6,SJ,S2,S5;H3,CJ,C9,C5;S8,HJ,S7,S4;H4,SA,H7,H6;SQ,H10,S9,S3;H9,D9,D6,D5;HA,DA,H8,S10;D8,D10,H2,DJ;HK,D7,C10,DQ;HQ,CQ,C6,SK"
1571819228,3,22,2,"CJ,CA,C9,C2;D6,D7,D10,DJ;C5,C8,C10,CQ;D5,D2,D9,DQ;HK,C7,C6,CK;H10,H3,H6,H4;S10,S3,S2,SJ;S5,SK,SA,S6;S9,S4,HJ,SQ;DA,H7,D8,H8;DK,H5,D4,H9;S8,H2,C4,HQ;S7,C3,D3,HA"
1571819228,3,0,2,"C9,CQ,C8,C2;HA,DJ,D3,D4;S6,S8,S5,S9;HK,SQ,C5,C6;S4,HQ,S2,S7;H5,H3,H6,H7;H2,H10,H8,H9;H4,DQ,D2,D5;SA,HJ,C7,C10;SK,DK,C4,CJ;D9,D10,C3,CK;D8,D7,SJ,CA;S3,D6,S10,DA"
